,student,course
0,0,35
1,0,48
2,0,234
3,0,115
4,0,38
5,1,3
6,1,270
7,1,281
8,1,66
9,1,0
10,2,130
11,2,17
12,2,59
13,2,95
14,2,32
15,3,250
16,3,142
17,3,157
18,3,208
19,3,58
20,4,77
21,4,35
22,4,180
23,4,260
24,4,221
25,5,262
26,5,8
27,5,185
28,5,102
29,5,84
30,6,232
31,6,34
32,6,78
33,6,287
34,6,290
35,7,49
36,7,239
37,7,286
38,7,189
39,7,284
40,8,277
41,8,46
42,8,131
43,8,206
44,8,298
45,9,222
46,9,1
47,9,169
48,9,102
49,9,290
50,10,230
51,10,96
52,10,260
53,10,211
54,10,107
55,11,228
56,11,213
57,11,253
58,11,34
59,11,190
60,12,166
61,12,133
62,12,100
63,12,249
64,12,116
65,13,278
66,13,221
67,13,210
68,13,181
69,13,229
70,14,83
71,14,46
72,14,63
73,14,281
74,14,89
75,15,126
76,15,2
77,15,143
78,15,266
79,15,25
80,16,285
81,16,56
82,16,68
83,16,23
84,16,122
85,17,38
86,17,67
87,17,175
88,17,126
89,17,256
90,18,39
91,18,99
92,18,278
93,18,25
94,18,183
95,19,293
96,19,204
97,19,146
98,19,128
99,19,80
100,20,47
101,20,139
102,20,58
103,20,30
104,20,225
105,21,214
106,21,99
107,21,61
108,21,248
109,21,171
110,22,169
111,22,221
112,22,294
113,22,156
114,22,176
115,23,116
116,23,287
117,23,236
118,23,126
119,23,111
120,24,120
121,24,60
122,24,179
123,24,248
124,24,226
125,25,39
126,25,201
127,25,32
128,25,233
129,25,83
130,26,133
131,26,42
132,26,297
133,26,163
134,26,95
135,27,35
136,27,270
137,27,2
138,27,25
139,27,184
140,28,203
141,28,19
142,28,219
143,28,270
144,28,190
145,29,154
146,29,184
147,29,175
148,29,149
149,29,118
150,30,147
151,30,159
152,30,30
153,30,180
154,30,282
155,31,277
156,31,58
157,31,182
158,31,281
159,31,192
160,32,258
161,32,76
162,32,194
163,32,108
164,32,92
165,33,128
166,33,193
167,33,263
168,33,295
169,33,190
170,34,160
171,34,23
172,34,116
173,34,139
174,34,232
175,35,225
176,35,284
177,35,102
178,35,207
179,35,54
180,36,233
181,36,26
182,36,27
183,36,274
184,36,74
185,37,238
186,37,173
187,37,112
188,37,103
189,37,42
190,38,100
191,38,205
192,38,22
193,38,145
194,38,292
195,39,91
196,39,297
197,39,205
198,39,27
199,39,127
200,40,159
201,40,67
202,40,17
203,40,292
204,40,2
205,41,115
206,41,298
207,41,171
208,41,12
209,41,98
210,42,108
211,42,297
212,42,282
213,42,217
214,42,83
215,43,94
216,43,31
217,43,40
218,43,24
219,43,93
220,44,288
221,44,273
222,44,72
223,44,148
224,44,163
225,45,266
226,45,44
227,45,276
228,45,187
229,45,23
230,46,192
231,46,263
232,46,259
233,46,220
234,46,118
235,47,142
236,47,12
237,47,27
238,47,143
239,47,2
240,48,200
241,48,1
242,48,227
243,48,271
244,48,264
245,49,82
246,49,77
247,49,269
248,49,230
249,49,56
250,50,6
251,50,192
252,50,0
253,50,200
254,50,226
255,51,52
256,51,174
257,51,31
258,51,86
259,51,273
260,52,251
261,52,60
262,52,88
263,52,281
264,52,289
265,53,229
266,53,56
267,53,299
268,53,225
269,53,128
270,54,177
271,54,219
272,54,66
273,54,261
274,54,121
275,55,272
276,55,45
277,55,76
278,55,82
279,55,60
280,56,197
281,56,23
282,56,30
283,56,135
284,56,5
285,57,294
286,57,190
287,57,91
288,57,197
289,57,78
290,58,46
291,58,13
292,58,37
293,58,45
294,58,129
295,59,153
296,59,131
297,59,246
298,59,63
299,59,121
300,60,219
301,60,209
302,60,89
303,60,227
304,60,100
305,61,56
306,61,211
307,61,102
308,61,208
309,61,128
310,62,269
311,62,268
312,62,202
313,62,148
314,62,22
315,63,289
316,63,216
317,63,102
318,63,120
319,63,240
320,64,200
321,64,105
322,64,187
323,64,291
324,64,184
325,65,267
326,65,206
327,65,91
328,65,145
329,65,19
330,66,149
331,66,109
332,66,291
333,66,57
334,66,273
335,67,253
336,67,54
337,67,63
338,67,250
339,67,271
340,68,137
341,68,27
342,68,190
343,68,158
344,68,186
345,69,276
346,69,210
347,69,259
348,69,151
349,69,37
350,70,258
351,70,133
352,70,148
353,70,103
354,70,281
355,71,143
356,71,285
357,71,77
358,71,116
359,71,137
360,72,123
361,72,38
362,72,140
363,72,55
364,72,14
365,73,238
366,73,104
367,73,68
368,73,236
369,73,25
370,74,151
371,74,106
372,74,189
373,74,17
374,74,84
375,75,39
376,75,61
377,75,250
378,75,235
379,75,27
380,76,273
381,76,147
382,76,295
383,76,40
384,76,52
385,77,177
386,77,256
387,77,249
388,77,235
389,77,24
390,78,231
391,78,232
392,78,261
393,78,143
394,78,110
395,79,243
396,79,278
397,79,16
398,79,18
399,79,185
400,80,153
401,80,246
402,80,20
403,80,233
404,80,257
405,81,213
406,81,78
407,81,47
408,81,130
409,81,181
410,82,174
411,82,10
412,82,75
413,82,19
414,82,256
415,83,7
416,83,218
417,83,103
418,83,94
419,83,295
420,84,245
421,84,63
422,84,160
423,84,254
424,84,45
425,85,128
426,85,151
427,85,179
428,85,149
429,85,252
430,86,103
431,86,56
432,86,191
433,86,256
434,86,64
435,87,175
436,87,239
437,87,98
438,87,100
439,87,10
440,88,156
441,88,208
442,88,154
443,88,137
444,88,145
445,89,132
446,89,234
447,89,122
448,89,61
449,89,182
450,90,261
451,90,219
452,90,139
453,90,3
454,90,58
455,91,113
456,91,42
457,91,294
458,91,116
459,91,124
460,92,198
461,92,285
462,92,277
463,92,26
464,92,77
465,93,196
466,93,123
467,93,238
468,93,0
469,93,106
470,94,119
471,94,83
472,94,220
473,94,297
474,94,156
475,95,164
476,95,252
477,95,50
478,95,202
479,95,83
480,96,81
481,96,271
482,96,244
483,96,29
484,96,125
485,97,232
486,97,32
487,97,205
488,97,278
489,97,174
490,98,131
491,98,123
492,98,104
493,98,25
494,98,186
495,99,21
496,99,272
497,99,135
498,99,60
499,99,226
500,100,86
501,100,72
502,100,289
503,100,48
504,100,202
505,101,100
506,101,81
507,101,97
508,101,252
509,101,130
510,102,225
511,102,296
512,102,255
513,102,84
514,102,177
515,103,150
516,103,68
517,103,265
518,103,196
519,103,148
520,104,185
521,104,34
522,104,105
523,104,97
524,104,237
525,105,244
526,105,27
527,105,220
528,105,94
529,105,2
530,106,263
531,106,134
532,106,212
533,106,239
534,106,160
535,107,155
536,107,91
537,107,297
538,107,202
539,107,205
540,108,267
541,108,25
542,108,244
543,108,38
544,108,84
545,109,125
546,109,146
547,109,80
548,109,8
549,109,289
550,110,77
551,110,134
552,110,0
553,110,288
554,110,145
555,111,126
556,111,103
557,111,150
558,111,6
559,111,168
560,112,49
561,112,101
562,112,257
563,112,1
564,112,146
565,113,219
566,113,277
567,113,283
568,113,252
569,113,15
570,114,81
571,114,41
572,114,200
573,114,194
574,114,72
575,115,236
576,115,229
577,115,147
578,115,44
579,115,45
580,116,10
581,116,25
582,116,66
583,116,61
584,116,75
585,117,92
586,117,4
587,117,29
588,117,280
589,117,64
590,118,45
591,118,36
592,118,133
593,118,273
594,118,217
595,119,181
596,119,146
597,119,152
598,119,123
599,119,20
600,120,75
601,120,145
602,120,243
603,120,21
604,120,105
605,121,71
606,121,14
607,121,107
608,121,268
609,121,27
610,122,170
611,122,72
612,122,51
613,122,209
614,122,240
615,123,115
616,123,194
617,123,225
618,123,109
619,123,105
620,124,220
621,124,46
622,124,273
623,124,294
624,124,256
625,125,7
626,125,43
627,125,281
628,125,113
629,125,215
630,126,287
631,126,67
632,126,16
633,126,60
634,126,254
635,127,11
636,127,188
637,127,39
638,127,111
639,127,193
640,128,10
641,128,6
642,128,172
643,128,18
644,128,288
645,129,88
646,129,42
647,129,124
648,129,35
649,129,210
650,130,156
651,130,222
652,130,12
653,130,217
654,130,221
655,131,130
656,131,184
657,131,228
658,131,202
659,131,28
660,132,107
661,132,238
662,132,231
663,132,10
664,132,166
665,133,103
666,133,68
667,133,30
668,133,136
669,133,85
670,134,47
671,134,131
672,134,199
673,134,286
674,134,240
675,135,1
676,135,213
677,135,178
678,135,195
679,135,79
680,136,67
681,136,66
682,136,235
683,136,20
684,136,21
685,137,229
686,137,173
687,137,119
688,137,33
689,137,115
690,138,101
691,138,185
692,138,231
693,138,262
694,138,198
695,139,45
696,139,89
697,139,24
698,139,283
699,139,85
700,140,292
701,140,14
702,140,289
703,140,266
704,140,161
705,141,210
706,141,246
707,141,115
708,141,40
709,141,120
710,142,132
711,142,281
712,142,262
713,142,270
714,142,21
715,143,160
716,143,253
717,143,134
718,143,88
719,143,263
720,144,247
721,144,13
722,144,243
723,144,109
724,144,60
725,145,56
726,145,86
727,145,271
728,145,256
729,145,165
730,146,260
731,146,100
732,146,124
733,146,242
734,146,244
735,147,144
736,147,122
737,147,234
738,147,140
739,147,150
740,148,293
741,148,217
742,148,74
743,148,299
744,148,264
745,149,98
746,149,242
747,149,19
748,149,266
749,149,211
750,150,291
751,150,9
752,150,139
753,150,22
754,150,0
755,151,218
756,151,277
757,151,280
758,151,159
759,151,65
760,152,195
761,152,240
762,152,93
763,152,74
764,152,283
765,153,86
766,153,181
767,153,22
768,153,279
769,153,84
770,154,231
771,154,232
772,154,240
773,154,184
774,154,148
775,155,5
776,155,145
777,155,243
778,155,283
779,155,96
780,156,117
781,156,251
782,156,25
783,156,293
784,156,31
785,157,274
786,157,77
787,157,123
788,157,104
789,157,137
790,158,16
791,158,173
792,158,218
793,158,164
794,158,97
795,159,176
796,159,39
797,159,270
798,159,54
799,159,183
800,160,208
801,160,274
802,160,153
803,160,126
804,160,231
805,161,28
806,161,105
807,161,138
808,161,179
809,161,203
810,162,201
811,162,126
812,162,298
813,162,35
814,162,196
815,163,194
816,163,0
817,163,101
818,163,1
819,163,292
820,164,294
821,164,92
822,164,4
823,164,134
824,164,197
825,165,11
826,165,222
827,165,103
828,165,273
829,165,150
830,166,26
831,166,128
832,166,137
833,166,129
834,166,151
835,167,63
836,167,127
837,167,112
838,167,122
839,167,31
840,168,286
841,168,7
842,168,16
843,168,243
844,168,209
845,169,291
846,169,270
847,169,266
848,169,253
849,169,12
850,170,29
851,170,16
852,170,257
853,170,262
854,170,121
855,171,134
856,171,270
857,171,278
858,171,275
859,171,193
860,172,152
861,172,121
862,172,1
863,172,166
864,172,76
865,173,58
866,173,16
867,173,21
868,173,285
869,173,0
870,174,23
871,174,281
872,174,186
873,174,272
874,174,146
875,175,180
876,175,48
877,175,35
878,175,166
879,175,286
880,176,96
881,176,252
882,176,214
883,176,60
884,176,201
885,177,34
886,177,285
887,177,56
888,177,266
889,177,40
890,178,59
891,178,160
892,178,172
893,178,207
894,178,158
895,179,0
896,179,255
897,179,64
898,179,41
899,179,298
900,180,13
901,180,121
902,180,123
903,180,220
904,180,48
905,181,177
