,student,major,course,semester
0,1,180,182,S1
0,1,180,178,S1
0,1,180,180,S1
0,1,180,179,S1
0,1,180,177,S1
0,2,270,265,S1
0,2,270,270,S1
0,2,270,274,S1
0,2,270,271,S1
0,2,270,273,S1
0,3,260,257,S1
0,3,260,255,S1
0,3,260,260,S1
0,3,260,265,S1
0,3,260,258,S1
0,4,700,697,S1
0,4,700,702,S1
0,4,700,699,S1
0,4,700,704,S1
0,4,700,701,S1
0,5,450,446,S1
0,5,450,451,S1
0,5,450,453,S1
0,5,450,448,S1
0,5,450,447,S1
0,6,210,205,S1
0,6,210,209,S1
0,6,210,211,S1
0,6,210,210,S1
0,6,210,214,S1
0,7,10,11,S1
0,7,10,15,S1
0,7,10,14,S1
0,7,10,13,S1
0,7,10,8,S1
0,8,280,278,S1
0,8,280,285,S1
0,8,280,283,S1
0,8,280,275,S1
0,8,280,282,S1
0,9,730,735,S1
0,9,730,728,S1
0,9,730,732,S1
0,9,730,727,S1
0,9,730,725,S1
0,10,660,663,S1
0,10,660,655,S1
0,10,660,661,S1
0,10,660,657,S1
0,10,660,656,S1
0,11,610,615,S1
0,11,610,614,S1
0,11,610,611,S1
0,11,610,610,S1
0,11,610,612,S1
0,12,430,433,S1
0,12,430,435,S1
0,12,430,425,S1
0,12,430,428,S1
0,12,430,430,S1
0,13,660,660,S1
0,13,660,662,S1
0,13,660,664,S1
0,13,660,656,S1
0,13,660,661,S1
0,14,330,327,S1
0,14,330,325,S1
0,14,330,334,S1
0,14,330,332,S1
0,14,330,326,S1
0,15,350,346,S1
0,15,350,347,S1
0,15,350,350,S1
0,15,350,354,S1
0,15,350,349,S1
0,16,690,685,S1
0,16,690,688,S1
0,16,690,695,S1
0,16,690,691,S1
0,16,690,692,S1
0,17,810,806,S1
0,17,810,805,S1
0,17,810,810,S1
0,17,810,811,S1
0,17,810,813,S1
0,18,430,435,S1
0,18,430,425,S1
0,18,430,426,S1
0,18,430,433,S1
0,18,430,429,S1
0,19,890,892,S1
0,19,890,886,S1
0,19,890,895,S1
0,19,890,890,S1
0,19,890,893,S1
0,20,490,493,S1
0,20,490,489,S1
0,20,490,486,S1
0,20,490,491,S1
0,20,490,494,S1
0,21,470,473,S1
0,21,470,467,S1
0,21,470,472,S1
0,21,470,468,S1
0,21,470,465,S1
0,22,20,24,S1
0,22,20,25,S1
0,22,20,19,S1
0,22,20,21,S1
0,22,20,17,S1
0,23,480,482,S1
0,23,480,475,S1
0,23,480,485,S1
0,23,480,477,S1
0,23,480,483,S1
0,24,550,552,S1
0,24,550,547,S1
0,24,550,553,S1
0,24,550,548,S1
0,24,550,554,S1
0,25,810,807,S1
0,25,810,809,S1
0,25,810,810,S1
0,25,810,815,S1
0,25,810,814,S1
0,26,390,389,S1
0,26,390,385,S1
0,26,390,393,S1
0,26,390,395,S1
0,26,390,388,S1
0,27,920,921,S1
0,27,920,919,S1
0,27,920,920,S1
0,27,920,923,S1
0,27,920,922,S1
0,28,0,1,S1
0,28,0,-3,S1
0,28,0,2,S1
0,28,0,-1,S1
0,28,0,-5,S1
0,29,880,880,S1
0,29,880,882,S1
0,29,880,884,S1
0,29,880,881,S1
0,29,880,885,S1
0,30,110,111,S1
0,30,110,110,S1
0,30,110,109,S1
0,30,110,107,S1
0,30,110,113,S1
0,31,570,572,S1
0,31,570,566,S1
0,31,570,567,S1
0,31,570,574,S1
0,31,570,571,S1
0,32,0,1,S1
0,32,0,-3,S1
0,32,0,2,S1
0,32,0,4,S1
0,32,0,0,S1
0,33,880,881,S1
0,33,880,879,S1
0,33,880,877,S1
0,33,880,883,S1
0,33,880,884,S1
0,34,280,279,S1
0,34,280,275,S1
0,34,280,280,S1
0,34,280,283,S1
0,34,280,276,S1
0,35,920,925,S1
0,35,920,918,S1
0,35,920,920,S1
0,35,920,917,S1
0,35,920,924,S1
0,36,780,782,S1
0,36,780,777,S1
0,36,780,785,S1
0,36,780,776,S1
0,36,780,781,S1
0,37,400,395,S1
0,37,400,405,S1
0,37,400,402,S1
0,37,400,400,S1
0,37,400,401,S1
0,38,730,727,S1
0,38,730,729,S1
0,38,730,728,S1
0,38,730,725,S1
0,38,730,735,S1
0,39,260,260,S1
0,39,260,265,S1
0,39,260,258,S1
0,39,260,263,S1
0,39,260,261,S1
0,40,80,77,S1
0,40,80,82,S1
0,40,80,84,S1
0,40,80,75,S1
0,40,80,81,S1
